id,session,electoralTerm,firstName,lastName,politicianId,speechContent,factionId,documentUrl,positionShort,positionLong,date,speech_length,paragraph_number,paragraph_length
739083,43,17,lukrezia,jochimsen,11003777,Herr Präsident! Liebe Kolleginnen und Kollegen! Vor,6,https://dip21.bundestag.de/dip21/btp/17/17043.pdf,Member of Parliament,NA,2010-05-20T00:00:00.000000,3564,1,51
739083,43,17,lukrezia,jochimsen,11003777,"total leeren Tribünen - mit Ausnahme der Eltern des
Kollegen Kurth, die dankenswerterweise da sind - diskutieren wir jetzt als letzten Tagesordnungspunkt über
eines der großen Themen der Erinnerungskultur. Ich
finde, die Art, wie wir darüber diskutieren, ist dem nicht
angemessen. Statt eine groß angelegte Debatte mit der
Öffentlichkeit zu führen, treibt die Regierungskoalition
ihren Gesetzentwurf zur Errichtung der Stiftung „Flucht,
Vertreibung, Versöhnung“ fast unter Ausschluss der Öffentlichkeit durchs Parlament.",6,https://dip21.bundestag.de/dip21/btp/17/17043.pdf,Member of Parliament,NA,2010-05-20T00:00:00.000000,3564,2,520
739083,43,17,lukrezia,jochimsen,11003777,({0}),6,https://dip21.bundestag.de/dip21/btp/17/17043.pdf,Member of Parliament,NA,2010-05-20T00:00:00.000000,3564,3,5
739083,43,17,lukrezia,jochimsen,11003777,Der Grund: So soll ein Skandal versteckt werden.,6,https://dip21.bundestag.de/dip21/btp/17/17043.pdf,Member of Parliament,NA,2010-05-20T00:00:00.000000,3564,4,48
739083,43,17,lukrezia,jochimsen,11003777,({1}),6,https://dip21.bundestag.de/dip21/btp/17/17043.pdf,Member of Parliament,NA,2010-05-20T00:00:00.000000,3564,5,5
739083,43,17,lukrezia,jochimsen,11003777,- Doch: Der Skandal der Erpressung der Bundesregierung durch den Bund der Vertriebenen.,6,https://dip21.bundestag.de/dip21/btp/17/17043.pdf,Member of Parliament,NA,2010-05-20T00:00:00.000000,3564,6,87
739083,43,17,lukrezia,jochimsen,11003777,({2}),6,https://dip21.bundestag.de/dip21/btp/17/17043.pdf,Member of Parliament,NA,2010-05-20T00:00:00.000000,3564,7,5
739083,43,17,lukrezia,jochimsen,11003777,"Alle Hauptpunkte des neuen Gesetzes gehen auf Forderungen des Bundes der Vertriebenen zurück, der sich
als Interessenvertretung damit eine Bundesstiftung zur
Beute macht.",6,https://dip21.bundestag.de/dip21/btp/17/17043.pdf,Member of Parliament,NA,2010-05-20T00:00:00.000000,3564,8,170
739083,43,17,lukrezia,jochimsen,11003777,({3}),6,https://dip21.bundestag.de/dip21/btp/17/17043.pdf,Member of Parliament,NA,2010-05-20T00:00:00.000000,3564,9,5
739083,43,17,lukrezia,jochimsen,11003777,"Die sechs Vertreter des Bundes der Vertriebenen - ich
bleibe dabei; ich kann rechnen - dominieren als größte
Einzelgruppe den Stiftungsrat, während zum Beispiel
der Bundestag nur vier Vertreter in den Stiftungsrat entsenden darf.",6,https://dip21.bundestag.de/dip21/btp/17/17043.pdf,Member of Parliament,NA,2010-05-20T00:00:00.000000,3564,10,229
