id,session,electoralTerm,firstName,lastName,politicianId,speechContent,factionId,documentUrl,positionShort,positionLong,date,speech_length,paragraph_number,paragraph_length,word_count,sentiment_class,sentiment_probabilities
738998,43,17,burkhard,lischka,11004099,Frau Präsidentin! Meine Damen und Herren! Herr,23,https://dip21.bundestag.de/dip21/btp/17/17043.pdf,Member of Parliament,NA,2010-05-20T00:00:00.000000,6930,1,46,7,neutral,"[[""positive"", 0.012533030472695827], [""negative"", 0.02199430763721466], [""neutral"", 0.9654726982116699]]"
738998,43,17,burkhard,lischka,11004099,"Kollege Heveling, ich bin auf die Rede des Kollegen
Buschmann gespannt, weil ich nicht weiß, für wen Sie
hier gesprochen haben, als Sie „wir“ gesagt haben. Ich
weiß nicht, ob Sie für die Unionsfraktion oder auch für
die FDP-Fraktion gesprochen haben. An dem Beifall
habe ich gesehen, dass da doch Uneinigkeit besteht.",23,https://dip21.bundestag.de/dip21/btp/17/17043.pdf,Member of Parliament,NA,2010-05-20T00:00:00.000000,6930,2,317,47,neutral,"[[""positive"", 0.0026827750261873007], [""negative"", 0.008845900185406208], [""neutral"", 0.9884713888168335]]"
738998,43,17,burkhard,lischka,11004099,"Der Anlass für unsere heutige Debatte ist allerdings
- das wissen Sie - ein EU-Richtlinienvorschlag, der
dazu dienen soll, den sexuellen Missbrauch und die sexuelle Ausbeutung von Kindern zu bekämpfen. Die Fragen, die durch diesen Richtlinienvorschlag aufgeworfen
werden, gehen weit, so finde ich, über das Streitthema
Internetsperren hinaus. Es stellt sich die Frage, wie wir
Straftäter in diesem Bereich überführen können, wie wir
Kinderpornografie im Internet tatsächlich bekämpfen
können, wie wir den Missbrauch von Kindern verhindern können und wie wir die Prävention stärken können.",23,https://dip21.bundestag.de/dip21/btp/17/17043.pdf,Member of Parliament,NA,2010-05-20T00:00:00.000000,6930,3,588,77,neutral,"[[""positive"", 0.00028030978864990175], [""negative"", 0.0004119295044802129], [""neutral"", 0.9993077516555786]]"
738998,43,17,burkhard,lischka,11004099,"Zu den Zahlen. Sie wissen, 12 000 Fälle von Kindesmissbrauch und 6 700 Fälle von Kinderpornografie haben wir pro Jahr. Das sind zumindest die aktuellen Zahlen der Polizeilichen Kriminalstatistik des BKA. Wir alle
gemeinsam wissen: Die Dunkelziffer ist extrem hoch.",23,https://dip21.bundestag.de/dip21/btp/17/17043.pdf,Member of Parliament,NA,2010-05-20T00:00:00.000000,6930,4,264,39,neutral,"[[""positive"", 0.0003194806049577892], [""negative"", 0.0007911550346761942], [""neutral"", 0.9988893866539001]]"
738998,43,17,burkhard,lischka,11004099,"Allein die Ermittlungsstelle Kinderpornografie in dem
Bundesland, aus dem ich komme, dem Bundesland
Sachsen-Anhalt, sichtet derzeit 365 Millionen Bilder
und Filme.",23,https://dip21.bundestag.de/dip21/btp/17/17043.pdf,Member of Parliament,NA,2010-05-20T00:00:00.000000,6930,5,163,18,neutral,"[[""positive"", 0.0007409790414385498], [""negative"", 0.0016547320410609245], [""neutral"", 0.9976043105125427]]"
738998,43,17,burkhard,lischka,11004099,"Jetzt liegt ein Richtlinienvorschlag der EU vor. Brüssel will die Rechtsharmonisierung, um konsequenter gegen Kinderpornografie im Internet und gegen sexuellen
Missbrauch von Kindern vorgehen zu können. Mit dem
Ziel stimmen wir als SPD-Fraktion überein, aber an
mehr als einer Stelle - nicht nur bei den Internetsperren
- sagen wir deutlich: Stopp, so dann nicht! - Ich will das
an drei Beispielen deutlich machen:",23,https://dip21.bundestag.de/dip21/btp/17/17043.pdf,Member of Parliament,NA,2010-05-20T00:00:00.000000,6930,6,414,58,negative,"[[""positive"", 0.023795997723937035], [""negative"", 0.7951982021331787], [""neutral"", 0.1810057908296585]]"
738998,43,17,burkhard,lischka,11004099,"Das erste Thema ist schon angesprochen worden: die
Internetsperren. Da gilt für uns die Maxime: „Löschen
statt sperren.“",23,https://dip21.bundestag.de/dip21/btp/17/17043.pdf,Member of Parliament,NA,2010-05-20T00:00:00.000000,6930,7,120,16,negative,"[[""positive"", 0.052575480192899704], [""negative"", 0.9372258186340332], [""neutral"", 0.010198673233389854]]"
738998,43,17,burkhard,lischka,11004099,({0}),23,https://dip21.bundestag.de/dip21/btp/17/17043.pdf,Member of Parliament,NA,2010-05-20T00:00:00.000000,6930,8,5,1,neutral,"[[""positive"", 0.00557720847427845], [""negative"", 0.048455916345119476], [""neutral"", 0.9459668397903442]]"
738998,43,17,burkhard,lischka,11004099,"Wir wollen Kinderpornografie im Internet bekämpfen.
Sie wissen, dass Internetsperren teilweise ungenau sind
und technisch leicht umgangen werden können. Meine
Überzeugung ist, dass sie zumindest keinen wesentlichen Beitrag im Kampf gegen Kinderpornografie leisten, dass im Gegenteil eine Infrastruktur aufgebaut wird,
die viele Bürgerinnen und Bürger unter dem Blickwinkel
der Freiheits- und Bürgerrechte zu Recht kritisch sehen.
Internetsperren sind deshalb aus unserer Sicht der falsche Weg.",23,https://dip21.bundestag.de/dip21/btp/17/17043.pdf,Member of Parliament,NA,2010-05-20T00:00:00.000000,6930,9,493,59,negative,"[[""positive"", 0.023132160305976868], [""negative"", 0.6366857290267944], [""neutral"", 0.3401821553707123]]"
738998,43,17,burkhard,lischka,11004099,({1}),23,https://dip21.bundestag.de/dip21/btp/17/17043.pdf,Member of Parliament,NA,2010-05-20T00:00:00.000000,6930,10,5,1,positive,"[[""positive"", 0.8924246430397034], [""negative"", 0.10718822479248047], [""neutral"", 0.00038712398963980377]]"
